occurance           				word
10                  				Indifferent
10                  				Indirectly
10                  				Individual
10                  				Initially
10                  				Innocent
10                  				Inserted
10                  				Instinct
10                  				Instinctively
10                  				Intelligence
10                  				Intensely
10                  				Interesting
10                  				Ivory
10                  				JJ
10                  				Jabberjays
10                  				Jagged
10                  				Jewels
10                  				Joy
10                  				Jungle
10                  				KILL
10                  				Keeping
10                  				Kicking
10                  				Kitchen
10                  				Know
10                  				Knows
10                  				Lace
10                  				Laced
10                  				Latecomers
10                  				Lately
10                  				Layers
10                  				Lean
10                  				Leap
10                  				Learn
10                  				Letting
10                  				Liar
10                  				Life
10                  				Lifesaving
10                  				Light
10                  				Lightning
10                  				Likable
10                  				Listening
10                  				Lit
10                  				Literally
10                  				Living
10                  				Long
10                  				Looks
10                  				Lots
10                  				Love
10                  				Low
10                  				Luckily
10                  				Lunch
10                  				MOCKINGJAY
10                  				Machine
10                  				Mad
10                  				Maple
10                  				Marriage
10                  				Mashed
10                  				Massive
10                  				Materializing
10                  				Meadows
10                  				Mean
10                  				Meaning
10                  				Meaningless
10                  				Meanwhile
10                  				Medium
10                  				Messalla's
10                  				Midnight
10                  				Military
10                  				Miners
10                  				Mint
10                  				Miscarriage
10                  				Moisture
10                  				Momentarily
10                  				Moments
10                  				Mon
10                  				Moonlight
10                  				Morning
10                  				Mother
10                  				Moved
10                  				Muddy
10                  				Muff
10                  				Murder
10                  				Murmur
10                  				Mushroom
10                  				Mutilation
10                  				Mutts
10                  				Mutually
10                  				NOW
10                  				Nagging
10                  				Nah
10                  				Nakedness
10                  				Navigating
10                  				Neat
10                  				Needless
10                  				Needling
10                  				Nervous
10                  				Nervousness
10                  				Newcomers
10                  				Nightmares
10                  				Nobody
10                  				Noodles
10                  				Normal
10                  				North
10                  				November
10                  				Now's
10                  				Nows
10                  				Nuclear
10                  				Numerous
10                  				ON
10                  				ONE
10                  				Objectively
10                  				Occasionally
10                  				Ocean
10                  				Octavias
10                  				October
10                  				Odd
10                  				Officially
10                  				Ohhh
10                  				Old
10                  				Older
10                  				Ooh
10                  				Open
10                  				Opinions
10                  				Orchards
10                  				Ordinarily
10                  				Originally
10                  				Ouch
10                  				Ours
10                  				Outside
10                  				Owe
10                  				Owning
10                  				Pain
10                  				Pairs
10                  				Panic
10                  				Paper
10                  				Parts
10                  				Past
10                  				Patches
10                  				Pathetic
10                  				Patting
10                  				Peacekeeping
10                  				Peacemaker
10                  				Peacemakers
10                  				Peetanor
10                  				Perching
10                  				Period
10                  				Perplexed
10                  				Petrified
10                  				Pheasant
10                  				Pick
10                  				Picking
10                  				Picnics
10                  				Pleased
10                  				Plenty
10                  				Poaching
10                  				Poised
10                  				Poisoned
10                  				Poisonous
10                  				Pond
10                  				Popular
10                  				Population
10                  				Portia's
10                  				Portias
10                  				Positioned
10                  				Positions
10                  				Powerful
10                  				Praised
10                  				Predictably
10                  				Predictions
10                  				Presenting
10                  				Press
10                  				Pretend
10                  				Prevent
10                  				Primand
10                  				Promising
10                  				Propaganda
10                  				Propelled
10                  				Proposing
10                  				Publicly
10                  				Punishable
10                  				Punished
10                  				Punishing
10                  				Purnia's
10                  				QUELL
10                  				Quells
10                  				Quickly
10                  				Quit
10                  				Quite
10                  				R
10                  				Rabid
10                  				Rain
10                  				Ran
10                  				Rarely
10                  				Reaping
10                  				Reassured
10                  				Rebellion
10                  				Refreshed
10                  				Refusal
10                  				Relief
10                  				Relieved
10                  				Relive
10                  				Reluctance
10                  				Remarkable
10                  				Remembering
10                  				Remind
10                  				Reminded
10                  				Repeatedly
10                  				Respect
10                  				Restraint
10                  				Return
10                  				Rhythmic
10                  				Ride
10                  				Rising
10                  				Roasted
10                  				Rockies
10                  				Rolling
10                  				Romance
10                  				Rosy
10                  				Rubbing
10                  				Runs
10                  				Rushing
10                  				SENECA
10                  				SNOW
10                  				SPARK
10                  				SUZANNE
10                  				Sac
10                  				Sadly
10                  				Safe
10                  				Sagging
10                  				Said
10                  				Sap
10                  				Sat
10                  				Scare
10                  				Scarred
10                  				Scoot
10                  				Scores
